Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210068,2021,06/14/2022,Bethany,15 RAINBOW RD,179860,395000,0.4553,Residential,Single Family,,,,POINT (-72.981093988 41.439975994)
210078,2021,12-02-2021,New Canaan,113 THURTON DR,1700230,2485000,0.6841,Residential,Single Family,,,,POINT (-73.51535197 41.128513986)
21403,2021,09/22/2022,Bethel,11 CHERRY LANE,168248,419000,0.401546539,Residential,Single Family,,,,POINT (-73.423362008 41.364191017)
210125,2021,11/24/2021,Glastonbury,486 TALL TIMBERS RD,241900,399900,0.6049,Residential,Single Family,,,,POINT (-72.570525991 41.693700017)
21203,2021,04/14/2022,Monroe,304C FAIRMOUNT DR,107200,187500,0.5717,Residential,Condo,,,,POINT (-73.270267971 41.337859017)
210599,2021,03-07-2022,Bristol,85 ILLINOIS AVE,135170,305000,0.443180328,Residential,Single Family,,,,POINT (-72.905224018 41.71050699)
210781,2021,04/25/2022,Bristol,60 PARK ST,89680,225000,0.3985,Residential,Two Family,,,,POINT (-72.952217997 41.672260995)
210227,2021,05/13/2022,Berlin,86 KENWOOD ST,167000,350000,0.4771,Residential,Single Family,,,,POINT (-72.782159994 41.636103979)
211234,2021,07-11-2022,Danbury,37 GOLDEN HILL RD,178000,185000,0.9621,Residential,Single Family,25 - Other,ESTATE / H11132,,POINT (-73.463704024 41.410431001)
210615,2021,08/30/2022,Branford,35 TURTLE BAY DR,337300,749000,0.4503,Residential,Condo,,,,POINT (-72.834086974 41.254090989)
21098,2021,09-12-2022,Canterbury,30 WAUREGAN RD,205900,280000,0.7353,Residential,Single Family,,,,POINT (-71.95689499 41.741669984)
21031,2021,11/23/2021,Haddam,1144 KILLINGWORTH RD,244450,495000,0.4938,Residential,Single Family,,,,POINT (-72.562466037 41.420579013)
21200,2021,01/28/2022,Farmington,7 CYPRESS TRAIL,140950,260000,0.5421,Residential,Condo,,,,POINT (-72.875744027 41.731196)
210068,2021,11/22/2021,Ledyard,11 PALMER DR,186200,359900,0.5173,Residential,Single Family,,,,POINT (-72.074658969 41.426874996)
210420,2021,08/23/2022,New Canaan,745 CARTER ST,918750,1387500,0.6621,Residential,Single Family,,,,POINT (-73.461638975 41.136836)
211259,2021,07/14/2022,Danbury,8 KIMBERLY TL,171100,215000,0.7958,Residential,Single Family,14 - Foreclosure,SALE OF FORECLOSURE / D16040,,POINT (-73.503362999 41.380788987)
210036,2021,11-01-2021,Cromwell,262 SKYVIEW DRIVE UNIT U-3,105910,235000,0.4506,Residential,Condo,,,,POINT (-72.680964019 41.606048989)
210422,2021,06-07-2022,Branford,55 MEADOW WOOD RD,273500,400000,0.6837,Residential,Single Family,07 - Change in Property,"VERY POOR CONDITION/SOLD ""AS IS""",,POINT (-72.781426996 41.277916004)
21308,2021,07/26/2022,Monroe,63 BIRCHWOOD RD,208100,465000,0.4475,Residential,Single Family,,,,POINT (-73.293552982 41.337955995)
210300,2021,09/15/2022,Ellington,8 PUNKIN DR,167560,349525,0.479393463,Residential,Single Family,,,,POINT (-72.469817005 41.926306003)
210164,2021,12/17/2021,Glastonbury,77 KIMBERLY LN,198000,395000,0.5012,Residential,Single Family,,,,POINT (-72.601069982 41.650212985)
211208,2021,09/19/2022,New Britain,306 CHESTNUT ST,117180,200000,0.5859,Residential,Two Family,08 - Part Interest,,,POINT (-72.770838976 41.666767998)
211181,2021,08-04-2022,Bristol,15 OWSIANKO LN,148330,312000,0.4754,Residential,Single Family,,,,POINT (-72.899173961 41.667328999)
210176,2021,08/17/2022,Essex,9 RUSSET LA,301300,775000,0.3887,Residential,Single Family,,,,POINT (-72.395832041 41.345404993)
211494,2021,05-04-2022,Bridgeport,463 SALEM STREET,137630,350000,0.3932,Residential,Single Family,,,,POINT (-73.206081033 41.196886008)
21251,2021,05/31/2022,Darien,36 RICHMOND DRIVE,589260,1100500,0.5354,Residential,Single Family,,,,POINT (-73.458223014 41.090590987)
211812,2021,06/29/2022,Bridgeport,20 MANILA PL #26,148210,262000,0.5656,Residential,Two Family,,,,POINT (-73.158964009 41.202373012)
210001,2021,10-01-2021,Glastonbury,47 ADDISON POND RD,113000,217000,0.5207,Residential,Condo,,,,POINT (-72.577704001 41.722117016)
210235,2021,07-12-2022,Mansfield,12C WHITE OAK CONDOS,41200,94500,0.4359,Residential,Condo,,,,POINT (-72.250300121 41.772668459)
